Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
NIRF-UNIV-248,Indian Institute Of Science Bangalore,Bangalore,Karnataka ,91.81,1,94.45,96.12,100.0,67.18,100
NIRF-UNIV-282,Institute Of Chemical Technology,Mumbai,Maharashtra ,87.58,2,84.53,96.51,94.00,61.66,97
NIRF-UNIV-319,Jawaharlal Nehru University,New Delhi,Delhi,86.45,3,89.45,84.33,100.0,73.57,98
NIRF-UNIV-745,University Of Hyderabad-Hyderabad,Hyderabad,Telangana,85.45,4,74.49,89.22,86.71,88.83,98
NIRF-UNIV-708,Tezpur University,Tezpur,Assam ,84.31,5,83.81,86.64,87.15,76.76,86
NIRF-UNIV-741,University Of Delhi,Delhi,Delhi,83.19,6,68.54,88.86,98.14,82.80,98
NIRF-UNIV-66,Banaras Hindu University,Varanasi,Uttar Pradesh ,81.22,7,70.28,81.11,92.60,87.75,99
NIRF-UNIV-249,Indian Institute Of Space Science And Technology,Thiruvananthapuram,Kerala ,78.82,8,94.28,63.58,100.0,70.83,95
NIRF-UNIV-86,Birla Institute Of Technology & Science -Pilani,Pilani,Rajasthan,76.85,9,86.74,76.72,100.0,36.80,96
NIRF-UNIV-18,Aligarh Muslim University,Aligarh,Uttar Pradesh ,76.62,10,66.73,84.81,84.96,65.23,86
NIRF-UNIV-780,Visva Bharati,Kolkata,West Bengal ,76.11,11,61.85,79.29,100.0,78.89,90
NIRF-UNIV-558,Punjab University,Chandigarh,Chandigarh ,76.02,12,56.18,84.89,81.93,76.32,97
NIRF-UNIV-542,Pondicherry University,Puducherry,Pondicherry,74.44,13,70.64,79.93,97.60,56.05,80
NIRF-UNIV-76,Bharathiar University,Coimbatore,Tamil Nadu ,74.31,14,55.11,80.70,100.0,79.05,86
NIRF-UNIV-29,Amrita Vishwa Vidyapeetham-Coimbatore,Coimbatore,Tamil Nadu ,74.02,14A,74.39,69.03,100.0,74.02,80
NIRF-UNIV-519,North Eastern Hill University,Shillong,Meghalaya ,72.41,15,80.40,58.31,100.0,71.80,92
