Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.34,1,92.85,55.03,98.35,73.09,100.00
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,80.61,2,90.74,57.76,98.10,68.12,96.32
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,79.05,3,90.14,54.16,96.07,71.52,94.02
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,67.29,4,85.37,34.53,93.01,57.55,69.57
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,67.01,5,83.11,37.44,93.21,70.21,51.93
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,66.64,6,57.85,67.03,87.58,71.10,45.52
IR-M-S-132,Xavier Labour Relations Institute,Jamshedpur,Jharkhand,65.33,7,87.21,28.94,98.07,62.24,46.56
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,64.82,8,80.83,31.43,93.89,54.39,69.22
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,62.89,9,58.57,66.99,71.84,65.12,43.37
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,62.74,10,62.77,54.34,88.26,56.18,43.37
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.11,11,59.23,70.37,78.97,60.18,14.17
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,61.89,12,79.50,35.44,94.59,63.77,21.13
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.79,13,78.26,35.34,85.01,71.99,25.08
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,59.15,14,79.30,16.92,88.47,63.49,62.38
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,58.40,15,68.33,36.09,77.80,63.04,52.11
IR-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,55.67,16,74.15,16.23,96.64,71.08,21.13
IR-M-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.57,17,60.63,42.86,76.40,64.25,28.05
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,55.09,18,81.04,15.96,84.93,69.56,20.37
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,53.86,19,70.36,18.50,89.98,73.19,18.80
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,53.56,20,74.85,8.75,94.47,67.17,28.69
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,53.56,20,74.13,16.01,90.00,70.06,15.06
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,53.37,22,66.41,45.54,59.92,52.34,25.76
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,53.11,23,59.90,28.95,88.61,66.21,21.13
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,53.01,24,76.57,8.47,92.23,54.90,35.62
