Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.28,1,83.16,89.24,78.57,48.47,100.00
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.68,2,76.75,41.85,99.87,75.87,55.27
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.55,3,69.72,46.48,96.37,57.01,47.28
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.85,4,74.81,43.78,83.64,58.77,36.71
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.87,5,62.26,47.10,91.54,60.14,37.39
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.53,6,54.40,54.89,90.28,44.95,51.83
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,60.35,7,56.39,54.10,78.07,53.16,62.72
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.22,8,73.03,43.77,70.28,70.23,31.01
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.50,9,77.91,38.31,69.71,66.78,30.21
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.40,10,69.26,44.42,86.04,54.34,16.55
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.36,11,76.69,35.38,85.67,57.56,18.46
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,58.07,12,73.74,32.04,88.53,71.97,14.26
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.59,13,47.87,53.79,87.18,55.40,41.11
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,57.23,14,66.93,45.04,76.53,52.11,31.20
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,52.62,15,54.67,48.40,72.61,51.49,20.28
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,52.11,16,69.36,23.16,86.61,55.73,14.55
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,51.95,17,83.26,25.24,71.18,47.29,4.33
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,51.73,18,69.64,29.92,74.12,63.52,6.86
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,51.44,19,48.70,47.63,66.55,57.02,35.31
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,51.34,20,64.29,33.28,68.26,54.18,30.01
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.25,21,51.02,44.82,72.50,52.89,27.09
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,51.21,22,74.80,18.84,85.70,51.20,8.59
IR-O-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,50.53,23,56.68,34.14,73.06,52.26,34.41
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,50.31,24,72.96,21.17,69.84,61.04,20.02
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,49.91,25,79.82,25.85,61.38,53.38,5.80
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.86,26,58.20,24.95,92.09,55.68,9.26
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,49.27,27,62.13,36.30,65.31,56.58,10.24
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,48.54,28,66.72,22.18,71.17,49.75,26.65
IR-O-U-0056,Tezpur University,Tezpur,Assam,48.47,29,66.92,30.10,63.47,50.99,15.71
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,48.08,30,66.49,26.97,72.39,51.98,3.58
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,47.97,31,66.01,18.10,71.70,69.38,14.55
IR-O-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,47.80,32,56.67,26.51,78.07,58.09,14.26
