Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,84.18,1,82.22,92.16,82.89,52.84,100.00
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,70.16,2,74.98,44.80,100.00,75.10,67.24
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.15,3,70.91,44.89,85.65,58.76,53.99
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.27,4,69.65,52.11,73.66,65.83,44.33
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,61.99,5,53.38,52.96,90.39,48.67,71.44
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.70,6,71.15,42.93,81.18,54.01,58.32
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.53,7,59.26,48.58,91.03,61.66,47.99
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,61.51,8,75.44,42.62,75.36,66.21,43.95
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,61.13,9,67.66,45.48,85.36,56.22,44.99
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,61.07,10,71.35,38.30,88.52,73.05,31.60
IR-O-U-0120,University of Delhi,Delhi,Delhi,60.10,11,50.18,55.40,85.21,60.37,53.44
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,58.71,12,56.00,48.61,77.49,52.37,65.89
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,58.30,13,67.47,46.47,75.58,52.82,37.18
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,56.04,14,82.40,30.44,69.83,48.72,33.54
IR-O-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,55.79,15,62.76,40.72,72.48,60.97,41.37
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.22,16,48.71,54.82,67.26,58.15,49.00
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,54.30,17,70.97,40.78,55.70,57.39,38.99
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,54.10,18,51.99,48.02,75.33,46.08,44.07
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,53.82,19,63.77,25.99,86.10,56.86,39.82
