Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-C-C-6355,Miranda House,Delhi,Delhi,77.23,1,79.15,58.22,85.65,76.40,77.87
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,72.08,2,74.77,10.88,95.54,75.11,91.38
IR-C-C-6377,Hindu College,Delhi,Delhi,70.44,3,72.43,27.41,86.77,75.03,81.68
IR-C-C-22470,St. Stephen`s College,Delhi,Delhi,69.67,4,77.03,24.86,73.89,68.80,97.78
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,68.89,5,73.11,95.83,53.31,50.49,69.02
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,68.03,6,64.59,91.70,54.97,47.02,100.00
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.59,7,66.43,40.28,82.69,55.81,87.26
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.59,7,79.96,37.48,91.42,29.09,42.30
IR-C-C-6425,Hans Raj College,Delhi,Delhi,67.23,9,70.86,23.84,82.07,77.29,70.57
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,66.63,10,74.29,33.44,84.24,62.39,45.89
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,66.58,11,76.93,25.59,98.76,27.27,45.54
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.29,12,72.84,0.90,88.69,76.76,71.69
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.15,13,78.96,41.52,77.86,71.19,17.46
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.04,14,78.78,43.05,73.17,68.06,29.73
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,65.32,15,77.48,46.89,69.61,65.87,33.13
IR-C-C-6429,Gargi College,Delhi,Delhi,64.53,16,78.61,13.75,81.26,70.78,36.27
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,64.36,17,73.43,42.79,65.28,52.30,70.18
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,63.10,18,81.75,20.99,75.77,66.26,16.77
