Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.46,1,78.58,79.73,91.80,71.71,75.54
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,79.75,2,81.32,85.34,87.15,70.90,56.30
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,69.24,3,89.70,27.93,75.96,66.96,58.79
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,66.68,4,70.14,43.18,82.53,59.98,74.72
IR-A-U-0116,School of Planning and Architecture,New Delhi,Delhi,65.63,5,74.58,20.51,73.47,70.15,100.00
IR-A-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,65.05,6,71.68,62.31,74.67,52.88,37.00
IR-A-U-0626,School of Planning and Architecture,Bhopal,Madhya Pradesh,63.87,7,79.91,22.57,74.12,73.51,52.25
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.29,8,49.63,52.10,83.90,59.37,73.03
IR-A-U-0627,School of Planning and Architecture,Vijayawada,Andhra Pradesh,59.63,9,74.20,5.20,82.32,68.21,56.30
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,56.29,10,66.06,0.67,87.09,78.60,44.47
IR-A-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,55.75,11,57.69,25.46,92.24,54.30,37.00
IR-A-C-46330,Manipal Academy of Higher Education,Udupi,Karnataka,53.11,12,61.52,0.00,79.85,70.35,54.99
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,52.45,13,51.76,40.71,60.95,60.59,53.64
IR-A-C-57952,BMS College of Arhitecture,Bengaluru,Karnataka,52.18,14,63.40,0.01,77.67,57.88,54.99
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,51.70,15,56.44,34.30,71.03,55.22,25.28
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,51.52,16,40.68,50.18,88.25,40.73,34.91
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,50.30,17,47.68,24.60,78.55,51.00,54.99
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,48.73,18,46.60,25.50,58.10,52.83,80.87
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,48.59,19,44.44,51.07,59.84,58.42,27.90
IR-A-U-0454,Hindustan Institute of Technology  and Science (HITS),Chennai,Tamil Nadu,48.50,20,53.75,19.68,80.14,47.84,22.48
