Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,78.66,1,84.30,41.07,85.13,75.03,100.00
IR-L-U-0111,National Law University,New Delhi,Delhi,74.02,2,90.73,45.21,67.77,74.67,65.36
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,73.12,3,83.28,39.74,77.73,73.22,70.96
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.44,4,81.00,73.78,69.16,67.68,39.07
IR-L-U-0414,National Law University,Jodhpur,Rajasthan,64.29,5,74.48,26.85,78.05,65.16,44.35
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,63.32,6,70.52,35.19,68.59,69.75,57.09
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,60.78,7,69.67,35.83,68.56,67.92,36.15
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,59.54,8,72.00,16.72,67.48,77.47,36.15
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,57.93,9,59.24,35.00,72.20,76.31,33.01
IR-L-U-0386,The Rajiv Gandhi National University of Law,Patiala,Punjab,54.19,10,62.14,29.23,59.13,72.22,29.62
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,53.57,11,62.79,2.46,78.65,48.12,36.15
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.83,12,76.11,27.06,39.66,71.84,12.36
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,52.28,13,46.95,26.48,91.05,34.70,33.01
IR-L-U-0358,National Law University,Cuttack,Odisha,51.94,14,63.82,22.69,49.13,60.51,46.76
IR-L-U-0078,Panjab University,Chandigarh,Chandigarh,51.11,15,54.42,29.60,60.50,71.80,25.93
IR-L-U-0677,National Law University and Judicial Academy,Kamrup ,Assam,49.90,16,70.55,22.57,37.44,67.42,21.88
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,49.60,17,54.39,24.98,58.53,55.54,39.07
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,49.44,18,52.36,15.06,57.02,59.29,60.60
IR-L-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,49.17,19,50.08,24.79,70.81,35.39,41.79
IR-L-U-0217,Christ University,Bengaluru,Karnataka,48.01,20,50.51,18.36,54.32,65.82,49.04
