Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR17-MGMT-1-18698,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,78.96,1,90.71,51.44,90.36,85.77,96.73
IR17-MGMT-1-1-217,Indian Institute of Management Bangalore,Bengaluru,Karnataka,78.82,2,84.48,62.56,91.33,87.05,77.37
IR17-MGMT-1-18700,Indian Institute of Management Calcutta,Kolkata,West Bengal,76.60,3,90.96,48.43,98.27,80.66,70.61
IR17-MGMT-1-18704,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.58,4,84.81,45.72,90.61,88.72,54.34
IR17-MGMT-1-18703,Indian Institute of Management Kozhikode,Kozhikode,Kerala,65.41,5,79.51,36.43,89.49,77.49,49.85
IR17-MGMT-2-1-79,Indian Institute of Technology Delhi,New Delhi ,Delhi,64.51,6,57.81,83.82,69.82,58.59,22.00
IR17-MGMT-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,63.12,7,54.56,70.62,82.38,71.74,19.15
IR17-MGMT-2-18677,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.46,8,58.23,72.93,79.69,61.93,9.84
IR17-MGMT-1-15637,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,61.08,9,84.78,23.89,91.33,57.88,44.24
IR17-MGMT-1-1-231,Indian Institute of Management Indore,Indore,Madhya Pradesh,59.59,10,66.15,32.09,88.02,84.78,40.28
IR17-MGMT-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,57.19,11,79.59,44.28,68.57,47.06,16.06
IR17-MGMT-2-1-NEW5,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,55.74,12,76.38,24.65,83.04,74.75,13.57
IR17-MGMT-1-1-18708,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.46,13,77.37,12.15,85.20,81.63,34.11
IR17-MGMT-1-1-348,Indian Institute of Management Raipur,Raipur,Chhattisgarh,54.80,14,78.16,19.78,84.56,68.88,16.16
IR17-MGMT-1-18709,Indian Institute of Management Udaipur,Udaipur,Rajasthan,53.77,15,74.85,16.11,80.12,90.63,14.11
IR17-MGMT-1-16147,Management Development Institute,Gurgaon,Haryana,53.12,16,78.11,15.84,89.08,53.10,18.11
IR17-MGMT-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,51.83,17,59.74,33.97,64.27,79.33,29.36
IR17-MGMT-1-1-2809233566,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,51.42,18,66.39,18.97,88.48,55.65,25.45
IR17-MGMT-1-1-350,Indian Institute of Management Rohtak,Rohtak,Haryana,51.16,19,63.67,26.86,81.84,69.04,7.35
IR17-MGMT-1-1-347,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,51.07,20,77.81,7.97,82.97,75.17,12.26
IR17-MGMT-1-18710,Rajiv Gandhi Indian Institute of Management,Shillong,Meghalaya,50.44,21,78.22,7.68,83.07,66.80,13.84
IR17-MGMT-2-1-336,Kalinga Institute of Industrial Technology,Bhubneshwar,Odisha,50.43,22,69.11,15.48,77.60,70.60,24.83
IR17-MGMT-2-18292,Anna University,Chennai,Tamil Nadu,49.81,23,49.78,61.17,46.32,44.65,27.90
IR17-MGMT-1-1-2812245434,"Institute of Management Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,48.77,24,57.23,27.33,82.51,62.60,6.44
IR17-MGMT-1-1-349,Indian Institute of Management Ranchi,Ranchi,Jharkhand,48.70,25,64.12,7.50,84.81,85.69,16.81
IR17-MGMT-1-2811179135,PSG College of Technology,Coimbatore,Tamil Nadu,48.32,26,61.27,22.24,72.09,59.70,28.79
IR17-MGMT-1-1-2813919609,International Management Institute,New Delhi,Delhi,48.23,27,70.40,17.11,75.72,59.69,8.75
IR17-MGMT-2-18500,Banaras Hindu University,Varanasi,Uttar Pradesh,47.96,28,68.07,16.10,70.78,72.57,12.94
IR17-MGMT-1-1-2813047178,Institute of Rural Management Anand,Anand,Gujarat,47.83,29,67.85,8.10,80.92,82.10,6.51
IR17-MGMT-1-18239,Indian Institute of Foreign Trade,New Delhi,Delhi,46.79,30,55.34,22.58,72.16,55.03,34.93
IR17-MGMT-2-18406,Nirma University,Ahmedabad,Gujarat,45.81,31,71.75,6.29,69.70,62.01,22.63
IR17-MGMT-1-1-2811797143,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,44.96,32,72.47,3.18,69.99,67.37,15.26
IR17-MGMT-2-18584,Xavier University,Bhuabaneswar,Odisha,44.85,33,54.06,21.69,82.08,47.74,9.35
IR17-MGMT-2-18385,Narsee Monjee Institute of Management Studies -Mumbai,Mumbai,Maharashtra,44.81,34,52.22,16.33,76.89,65.04,23.58
IR17-MGMT-2-12969,Guru Gobind Singh Indraprastha University,Dwarka,Delhi,44.51,35,61.43,18.42,70.98,59.70,3.77
IR17-MGMT-1-1-2814097839,Fore School of Management,New Delhi,Delhi,44.51,35,70.46,5.87,80.25,52.79,2.82
IR17-MGMT-1-15450,Goa Institute of Management,"Poriem, Sattari",Goa,44.06,37,66.57,2.75,81.36,65.20,4.69
IR17-MGMT-1-16716,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh,43.60,38,58.43,3.72,83.21,82.79,0.26
IR17-MGMT-2-10563,Tezpur University,Tezpur,Assam,43.29,39,56.73,12.35,75.47,68.95,5.85
IR17-MGMT-1-15764,Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,42.85,40,65.65,2.24,62.89,70.21,28.76
IR17-MGMT-1-1-2809771998,K.J. Somaiya Institute of Management Studies & Reserach,Mumbai,Maharashtra,42.17,41,63.16,5.60,75.52,47.95,16.44
IR17-MGMT-2-1-2811092269,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,42.08,42,58.21,7.06,64.40,71.17,25.00
IR17-MGMT-1-1-2812648366,"Jaipuria Institute of Management, Noida",Noida,Uttar Pradesh,41.92,43,66.30,4.56,75.02,50.06,6.49
IR17-MGMT-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,41.90,44,59.91,9.00,71.11,64.32,5.79
IR17-MGMT-1-1-2812588086,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,41.76,45,59.56,6.90,74.88,59.98,8.39
IR17-MGMT-1-14004,Prin. L.N. Welingkar Institute of Management Development & Research,Mumbai,Maharashtra,41.27,46,62.69,5.06,73.72,54.08,7.89
IR17-MGMT-1-15717,MIT School of Telecom Management,Pune,Maharashtra,40.94,47,60.37,0.12,73.76,79.87,0.48
IR17-MGMT-2-18625,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,40.51,48,47.67,22.86,51.31,80.58,10.30
IR17-MGMT-1-2811862299,"International Management Institute, Kolkata",Kolkata,West Bengal,40.40,49,67.42,12.58,56.58,48.85,1.92
IR17-MGMT-1-1-2811763720,Xavier Institute of Management & Entrepreneurship,Bengaluru,Karnataka,40.07,50,49.39,0.15,78.36,84.82,10.56
