Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-C-C-6355,Miranda House,Delhi,Delhi,75.42,1,76.75,59.21,82.67,70.96,80.66
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,69.44,2,71.09,14.56,91.40,69.46,90.17
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,69.28,3,66.45,97.77,53.62,46.25,100.00
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.41,4,68.05,46.65,78.30,55.47,80.66
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.26,5,77.69,54.97,85.19,28.91,37.47
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,67.14,6,74.48,38.88,81.34,61.09,50.71
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,66.96,7,70.12,93.42,54.59,50.79,61.66
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,66.71,8,76.40,23.23,66.75,64.04,95.84
IR-C-C-6377,Hindu College,Delhi,Delhi,66.51,9,70.04,25.57,78.98,69.25,79.69
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.39,10,72.46,2.93,89.76,77.24,68.06
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.24,11,76.42,51.39,73.09,62.84,34.11
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.17,12,78.38,49.99,77.19,64.95,15.29
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.90,13,75.86,52.12,67.16,61.54,38.00
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,14,67.94,28.64,78.43,72.00,63.71
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.45,15,76.11,28.58,94.91,27.54,32.33
IR-C-C-6429,Gargi College,Delhi,Delhi,64.37,16,77.30,19.07,82.26,67.34,32.93
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,64.30,17,78.06,40.51,69.29,66.96,29.82
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.90,18,71.50,52.27,59.45,53.51,72.46
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.93,19,65.20,40.07,70.32,51.94,80.66
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,62.85,20,80.49,31.10,70.82,57.83,25.04
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.50,21,76.03,31.84,80.70,28.41,43.00
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,61.19,22,69.48,85.09,61.40,50.30,2.56
