Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.69,1,91.41,65.09,99.43,70.01,98.53
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,83.48,2,91.53,63.43,98.99,71.88,100.00
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.04,3,87.33,58.14,98.10,72.90,94.87
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,73.34,4,81.37,52.04,95.38,68.28,74.10
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,72.15,5,67.47,76.71,86.18,59.33,57.31
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,71.10,6,81.54,50.74,93.98,66.29,59.91
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.02,7,84.54,41.12,94.84,68.06,75.51
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,69.93,8,87.80,39.37,98.38,67.33,53.66
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.50,9,62.46,75.87,90.66,51.02,47.68
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,68.08,10,86.23,49.98,85.26,57.51,44.16
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,67.59,11,78.04,49.36,95.55,69.81,32.80
IR-M-S-8931,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,64.52,12,73.05,49.90,93.47,67.69,21.81
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,64.32,13,67.24,57.10,78.44,62.13,51.25
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,63.79,14,57.49,76.37,80.11,57.56,18.54
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,62.12,15,79.91,35.73,90.13,71.00,23.05
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,61.31,16,67.60,54.16,83.12,56.22,25.42
