Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-1-M-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,79.18,1,90.82,53.89,97.25,63.26,99.87
IR-1-M-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,77.33,2,84.71,51.19,97.95,69.65,100.00
IR-1-M-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,77.08,3,90.68,53.26,96.41,66.63,79.46
IR-1-M-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,68.63,4,83.98,39.15,94.76,60.51,67.01
IR-3-M-OEM-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,66.80,5,66.85,71.74,88.54,45.91,29.19
IR-1-M-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,65.21,6,81.02,33.89,94.61,51.18,66.86
IR-5-M-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,63.36,7,59.83,75.11,76.82,55.96,19.19
IR-3-M-OEM-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,63.31,8,57.83,80.25,63.80,61.98,29.19
IR-4-M-OEMA-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.95,9,54.66,79.72,79.52,50.94,16.38
IR-1-M-M-S-132,Xavier Labour Relations Institute,Jamshedpur,Jharkhand,62.66,10,86.06,27.07,95.61,54.57,41.44
IR-1-M-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,60.28,11,68.97,33.51,93.61,59.30,48.94
IR-1-M-M-I-1170,Management Development Institute,Gurgaon,Haryana,59.59,12,77.67,30.32,94.80,60.08,22.24
IR-2-M-OM-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,59.07,13,80.24,29.85,86.46,68.86,18.73
IR-3-M-OEM-S-8931,National Institute of Industrial Engineering,Mumbai,Maharashtra,57.02,14,75.28,35.32,86.26,55.66,10.13
IR-1-M-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.85,15,75.65,13.34,87.85,57.79,58.06
IR-1-M-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,55.25,16,82.19,16.42,85.63,67.98,17.34
IR-3-M-OEM-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,53.43,17,72.68,40.84,66.02,46.37,15.40
IR-1-M-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,52.80,18,72.37,9.33,94.27,66.26,28.11
IR-1-M-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,52.31,19,68.50,16.83,96.00,58.24,16.86
IR-1-M-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,51.20,20,75.51,15.24,89.18,51.34,10.13
IR-1-M-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,51.17,21,57.68,25.44,89.86,64.92,17.81
IR-2-M-OM-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,51.16,22,66.42,24.96,79.55,71.73,6.61
IR-1-M-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,51.11,23,65.86,18.89,81.01,58.68,36.07
IR-6-M-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,51.03,24,70.34,14.80,85.83,69.76,13.37
IR-1-M-M-I-1064,International Management Institute New Delhi,New Delhi,Delhi,50.94,25,71.92,19.63,80.91,62.81,10.13
IR-1-M-M-S-8937,Rajiv Gandhi Indian Institute of Management,Shillong,Meghalaya,50.53,26,77.31,6.45,92.16,55.35,14.40
IR-1-M-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,50.33,27,53.21,33.93,88.24,52.01,13.37
IR-4-M-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,50.28,28,48.60,47.66,57.90,51.53,46.67
IR-3-M-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,50.11,29,53.73,50.09,62.99,48.21,15.40
IR-5-M-OEMLD-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,49.31,30,70.84,18.43,77.91,61.68,7.82
IR-1-M-M-S-394,Institute of Management Technology,Ghaziabad,Uttar Pradesh,48.59,31,58.38,26.21,82.87,57.49,8.99
IR-1-M-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,47.47,32,69.39,1.45,85.04,53.66,38.41
IR-3-M-OEM-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.37,33,59.62,22.65,72.43,51.04,30.94
IR-5-M-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,47.08,34,62.14,24.75,70.39,65.33,4.09
IR-1-M-M-I-1238,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh,47.08,34,70.87,6.68,85.51,67.19,0.00
IR-2-M-OM-U-0715,Xavier University,Bhuabaneswar,Odisha,46.76,36,59.11,18.22,89.56,46.88,9.56
IR-1-M-M-I-1066,Fore School of Management,New Delhi,Delhi,46.06,37,72.01,6.61,81.31,55.05,7.22
IR-4-M-MAPC-U-0379,Lovely Professional University,Jalandhar,Punjab,44.75,38,61.13,21.31,60.51,75.75,3.44
IR-3-M-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,44.72,39,65.90,11.31,73.07,50.28,19.19
IR-1-M-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,44.21,40,55.34,6.46,90.40,58.55,17.34
IR-1-M-M-I-1058,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,43.81,41,71.38,1.49,74.51,56.64,13.89
IR-6-M-OEMLDP-U-0078,Panjab University,Chandigarh,Chandigarh,43.80,42,57.40,19.81,75.82,46.38,8.41
IR-1-M-M-S-92,Institute of Rural Management Anand,Anand,Gujarat,43.62,43,66.66,4.29,83.98,44.64,10.69
IR-5-M-OEMAP-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,43.21,44,58.86,26.85,52.06,54.96,15.89
IR-1-M-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,43.11,45,60.08,5.20,77.69,62.95,16.86
IR-2-M-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,43.05,46,69.87,6.88,65.27,69.14,0.71
IR-2-M-OM-C-32873,Lal Bahadur Shastri Institute of Management,Delhi,Delhi,42.99,47,67.63,2.39,79.92,55.94,4.09
