Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-1-O-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.16,1,84.54,91.08,75.48,43.70,100.00
IR-1-O-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.57,2,74.71,42.60,99.12,79.32,46.28
IR-3-O-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.52,3,65.15,50.76,95.42,53.13,43.62
IR-4-O-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,62.82,4,57.31,60.76,79.15,52.55,63.22
IR-1-O-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.54,5,74.36,45.34,84.45,55.71,21.66
IR-2-O-OE-U-0575,Jadavpur University,Kolkata,West Bengal,59.68,6,57.08,57.07,91.39,36.00,35.50
IR-1-O-O-U-0120,University of Delhi,Delhi,Delhi,58.69,7,52.52,58.16,85.14,51.26,33.15
IR-1-O-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,58.46,8,74.05,43.56,71.03,58.27,31.44
IR-1-O-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.24,9,70.70,43.64,84.55,55.29,15.04
IR-7-O-OEMALDC-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.78,10,70.28,36.87,90.56,49.03,26.30
IR-1-O-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,57.37,11,76.05,44.15,61.29,64.23,26.30
IR-5-O-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,56.18,12,72.33,33.21,82.27,68.86,11.76
IR-1-O-C-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.08,13,65.54,41.70,76.95,52.63,22.63
IR-1-O-O-U-0570,Calcutta University,Kolkata,West Bengal,53.38,14,45.47,50.26,86.81,46.72,26.30
IR-1-O-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,52.73,15,83.08,29.71,62.70,59.66,3.93
IR-3-O-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,52.68,16,50.30,47.42,68.43,60.02,36.71
